DATE,POPTHM
2003-01-01,289609.000000000000
2003-04-01,290252.666666666667
2003-07-01,290974.000000000000
2003-10-01,291669.333333333333
2004-01-01,292236.666666666667
2004-04-01,292875.333333333333
2004-07-01,293603.333333333333
2004-10-01,294334.000000000000
2005-01-01,294957.333333333333
2005-04-01,295588.333333333333
2005-07-01,296340.333333333333
2005-10-01,297085.666666666667
2006-01-01,297736.666666666667
2006-04-01,298408.000000000000
2006-07-01,299180.000000000000
2006-10-01,299946.000000000000
2007-01-01,300609.666666666667
2007-04-01,301283.666666666667
2007-07-01,302062.666666666667
2007-10-01,302828.666666666667
2008-01-01,303493.666666666667
2008-04-01,304159.666666666667
2008-07-01,304902.333333333333
2008-10-01,305616.666666666667
2009-01-01,306236.666666666667
2009-04-01,306866.000000000000
2009-07-01,307572.666666666667
2009-10-01,308285.000000000000
2010-01-01,308901.666666666667
2010-04-01,309488.333333333333
2010-07-01,310148.000000000000
2010-10-01,310817.333333333333
2011-01-01,311376.000000000000
2011-04-01,311940.666666666667
2011-07-01,312606.333333333333
2011-10-01,313258.000000000000
2012-01-01,313813.333333333333
2012-04-01,314373.333333333333
2012-07-01,315030.333333333333
2012-10-01,315684.666666666667
2013-01-01,316195.333333333333
2013-04-01,316732.666666666667
2013-07-01,317396.000000000000
2013-10-01,318072.000000000000
2014-01-01,318644.333333333333
2014-04-01,319227.666666666667
2014-07-01,319918.333333333333
2014-10-01,320611.333333333333
2015-01-01,321168.333333333333
2015-04-01,321744.000000000000
2015-07-01,322427.666666666667
2015-10-01,323110.666666666667
2016-01-01,323689.000000000000
2016-04-01,324265.666666666667
2016-07-01,324925.333333333333
2016-10-01,325557.333333333333
2017-01-01,326052.666666666667
2017-04-01,326554.000000000000
2017-07-01,327140.333333333333
2017-10-01,327691.666666666667
2018-01-01,328091.000000000000
2018-04-01,328525.666666666667
2018-07-01,329039.666666666667
2018-10-01,329521.666666666667
2019-01-01,329868.333333333333
2019-04-01,330245.333333333333
2019-07-01,330728.666666666667
2019-10-01,331208.000000000000
2020-01-01,331534.000000000000
2020-04-01,331699.000000000000
2020-07-01,331871.666666666667
2020-10-01,332045.000000000000
2021-01-01,331989.000000000000
2021-04-01,332149.333333333333
2021-07-01,332480.333333333333
2021-10-01,332786.000000000000
2022-01-01,332977.666666666667
2022-04-01,333320.333333333333
2022-07-01,333799.666666666667
2022-10-01,334282.666666666667
2023-01-01,334641.000000000000
2023-04-01,335018.666666666667
2023-07-01,.
